,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Atuona,17,PF,1559667798,76,-9.8,-139.03,82.64,20.02
1,Kabalo,0,CD,1559668351,37,-6.05,26.92,76.16,3.87
2,Matay,16,EG,1559668352,22,28.42,30.79,93.08,16.2
3,Bredasdorp,100,ZA,1559668353,88,-34.53,20.04,60.01,3.0
4,Kapaa,75,US,1559667895,88,22.08,-159.32,75.2,13.87
5,Rikitea,58,PF,1559668356,80,-23.12,-134.97,75.8,14.45
6,Mataura,94,NZ,1559668357,85,-46.19,168.86,41.06,7.94
7,Dikson,100,RU,1559668358,98,73.51,80.55,33.86,10.85
8,Arraial do Cabo,75,BR,1559667795,60,-22.97,-42.02,73.4,25.28
9,Cherskiy,0,RU,1559667931,68,68.75,161.3,31.16,13.98
10,Viiratsi,0,EE,1559668361,39,58.36,25.64,80.6,8.05
11,New Norfolk,20,AU,1559667882,80,-42.78,147.06,43.0,6.93
12,Ushuaia,0,AR,1559667897,87,-54.81,-68.31,44.6,9.17
13,Yellowknife,75,CA,1559667799,87,62.45,-114.38,44.6,6.93
14,Mackay,75,CA,1559668365,50,53.65,-115.58,57.2,6.93
15,East London,99,ZA,1559667936,95,-33.02,27.91,61.22,5.77
16,Ilulissat,75,GL,1559668197,65,69.22,-51.1,44.6,6.93
17,Qaanaaq,71,GL,1559667904,88,77.48,-69.36,28.1,2.84
18,Saint-Joseph,0,FR,1559668032,64,43.56,6.97,80.6,6.93
19,Taltal,0,CL,1559668371,41,-25.41,-70.49,72.92,6.49
20,Lasa,0,CY,1559668042,47,34.92,32.53,80.6,6.93
21,Saint George,75,GR,1559667884,50,39.45,22.34,77.0,8.05
22,Hermanus,100,ZA,1559668374,88,-34.42,19.24,60.01,3.0
23,Upernavik,38,GL,1559667794,88,72.79,-56.15,32.78,7.0
24,Radomsko,0,PL,1559668377,71,51.07,19.44,80.01,6.91
25,Avarua,95,CK,1559667734,88,-21.21,-159.78,73.4,2.24
26,Hami,79,CN,1559667896,16,42.84,93.51,75.98,14.14
27,Albany,40,US,1559667899,44,42.65,-73.75,69.01,12.75
28,San Juan de Uraba,100,CO,1559668381,78,8.76,-76.53,84.26,6.42
29,Hilo,90,US,1559667883,83,19.71,-155.08,71.6,3.36
30,Punta Arenas,75,CL,1559667882,87,-53.16,-70.91,42.8,6.93
31,Saldanha,10,PT,1559667978,39,41.42,-6.55,64.64,15.61
32,Ostrovnoy,100,RU,1559667883,79,68.05,39.51,45.2,17.85
33,Chuy,0,UY,1559667930,50,-33.69,-53.46,60.86,4.18
34,Tasiilaq,5,GL,1559667785,45,65.61,-37.64,44.6,11.41
35,Hobart,20,AU,1559667911,80,-42.88,147.33,43.0,6.93
36,San Cristobal,40,EC,1559667928,33,-0.39,-78.55,73.4,8.05
37,Kodiak,1,US,1559667803,47,39.95,-94.76,81.0,10.29
38,Katsuura,75,JP,1559667984,83,33.93,134.5,73.0,10.29
39,Port Macquarie,75,AU,1559668393,87,-31.43,152.91,57.0,10.29
40,Ribeira Grande,75,PT,1559667933,49,38.52,-28.7,68.0,17.22
41,Moyale,62,ET,1559668395,76,3.52,39.05,67.88,3.62
42,Abhar,0,IR,1559668396,36,36.14,49.22,66.8,4.52
43,Alyangula,90,AU,1559667897,43,-13.85,136.42,71.6,10.29
44,Ayorou,73,NE,1559668399,22,14.73,0.92,103.34,8.84
45,Bluff,97,AU,1559668400,51,-23.58,149.07,49.52,12.48
46,Harper,90,US,1559668048,88,30.3,-99.24,77.0,5.82
47,Saint Anthony,1,US,1559667909,59,43.97,-111.68,68.0,5.5
48,Fortuna Foothills,1,US,1559668403,26,32.66,-114.41,90.0,10.29
49,Tuktoyaktuk,75,CA,1559667678,80,69.44,-133.03,35.6,13.87
50,Mezinovskiy,0,RU,1559668406,60,55.48,40.41,58.34,3.33
51,Aklavik,75,CA,1559668407,75,68.22,-135.01,46.4,6.93
52,Geraldton,75,CA,1559667970,48,49.72,-86.95,60.8,3.36
53,Zhanakorgan,5,KZ,1559667946,33,43.91,67.25,81.38,3.51
54,Libreville,75,GA,1559668175,83,0.39,9.45,78.8,9.17
55,Iisalmi,0,FI,1559668229,49,63.56,27.19,71.6,13.87
56,Waingapu,100,ID,1559668413,86,-9.65,120.26,73.82,12.8
57,Busselton,23,AU,1559667900,55,-33.64,115.35,55.0,5.99
58,Hasaki,75,JP,1559667963,100,35.73,140.83,66.2,2.24
59,Havelock,40,US,1559668228,47,34.88,-76.9,82.99,5.82
60,Riviere-au-Renard,75,CA,1559668417,67,49.0,-64.4,57.2,9.17
61,Haines Junction,2,CA,1559668418,33,60.75,-137.51,52.76,1.43
62,Pandan,100,PH,1559668216,72,11.72,122.09,85.16,12.06
63,Ola,66,RU,1559668421,92,59.58,151.3,40.7,2.35
64,Ancud,90,CL,1559667931,100,-41.87,-73.83,53.6,19.46
65,Sur,11,OM,1559667988,53,22.57,59.53,92.0,11.1
66,Presidencia Roque Saenz Pena,63,AR,1559668424,57,-26.79,-60.44,68.24,8.28
67,Chicama,90,PE,1559668425,82,-7.84,-79.15,68.0,11.41
68,Auraiya,4,IN,1559668426,14,26.47,79.52,104.06,3.18
69,Faya,20,SA,1559668427,60,18.39,42.45,80.6,2.26
70,Opuwo,0,NA,1559668429,20,-18.06,13.84,68.06,6.76
71,Thompson,90,CA,1559667980,70,55.74,-97.86,48.2,4.7
72,Ban Nahin,100,LA,1559668431,90,18.24,104.21,72.2,1.83
73,Saint-Philippe,75,CA,1559667913,44,45.36,-73.48,63.0,13.87
74,Kamisu,75,JP,1559668433,100,35.89,140.67,71.01,2.24
75,Constitucion,5,MX,1559668158,49,23.99,-104.67,75.0,5.86
76,San Luis,69,AR,1559668436,29,-33.3,-66.34,74.9,24.23
77,Agadez,20,NE,1559668326,31,16.97,7.99,102.2,11.41
78,Uthal,0,PK,1559668440,64,25.81,66.62,89.3,8.3
79,Zacualtipan,98,MX,1559668441,61,20.65,-98.6,71.48,5.7
80,Castro,90,CL,1559668442,100,-42.48,-73.76,53.6,19.46
81,Mehriz,0,IR,1559668444,13,31.58,54.44,84.2,4.7
82,Straumen,40,NO,1559668445,55,63.87,11.3,62.6,11.41
83,Saint-Louis,75,CH,1559668446,37,47.59,7.56,91.4,6.93
84,Gobabis,0,NA,1559667999,15,-22.45,18.97,75.2,1.12
85,Balkanabat,0,TM,1559668449,17,39.51,54.36,94.34,14.5
86,Vao,0,EE,1559668451,74,59.1,26.19,66.8,1.01
87,Almaznyy,0,RU,1559668452,54,48.03,40.04,78.8,13.42
88,Ayagoz,40,KZ,1559668453,59,47.96,80.43,58.34,5.41
89,Kaitangata,49,NZ,1559667862,76,-46.28,169.85,39.99,5.01
90,Ambositra,85,MG,1559668455,92,-20.53,47.24,55.64,7.94
91,Isla Mujeres,75,MX,1559668457,70,21.23,-86.73,86.0,16.11
92,Mosetse,0,BW,1559668458,35,-20.64,26.64,64.82,9.51
93,Las Choapas,90,MX,1559668459,74,17.91,-94.09,87.8,3.4
94,Palmer,75,AU,1559667934,81,-34.85,139.16,48.99,4.7
95,Constantine,20,DZ,1559668461,31,36.36,6.61,87.8,9.17
96,Okhotsk,1,RU,1559668462,92,59.36,143.24,43.22,3.18
97,Vaini,20,IN,1559667676,83,15.34,74.49,77.0,6.93
98,Kavieng,89,PG,1559668027,75,-2.57,150.8,82.82,5.23
99,Jamestown,0,AU,1559667885,90,-33.21,138.6,40.88,5.97
100,Cape Town,90,ZA,1559667654,93,-33.93,18.42,60.01,14.99
101,Inhambane,0,MZ,1559668006,88,-23.87,35.38,63.38,3.85
102,Provideniya,75,RU,1559668033,90,64.42,-173.23,41.78,2.37
103,Gizo,0,IL,1559668470,51,31.8,34.94,82.4,12.75
104,Iqaluit,90,CA,1559667998,38,63.75,-68.52,35.6,5.82
105,Lorengau,86,PG,1559668472,86,-2.02,147.27,79.4,4.59
106,Vung Tau,100,VN,1559668473,76,10.35,107.08,84.44,5.44
107,Srednekolymsk,34,RU,1559668475,54,67.46,153.71,35.84,13.06
108,Broken Hill,40,AU,1559668021,70,-31.97,141.45,44.6,14.99
109,Farim,100,GW,1559668477,31,12.48,-15.22,93.8,11.41
110,Zhengjiatun,73,CN,1559668478,61,43.51,123.51,68.06,6.53
111,La Macarena,46,CO,1559668479,81,2.18,-73.79,78.32,4.79
112,Richards Bay,0,ZA,1559668480,66,-28.77,32.06,74.72,18.39
113,Saryozek,66,KZ,1559668015,81,44.36,77.98,59.96,13.24
114,Isangel,45,VU,1559667982,78,-19.55,169.27,76.7,3.69
115,Port Alfred,78,ZA,1559667901,87,-33.59,26.89,62.01,3.0
116,Crowley,90,US,1559668279,58,30.21,-92.37,93.0,8.05
117,Saskylakh,7,RU,1559667957,69,71.97,114.09,39.26,12.24
118,Ponta do Sol,8,BR,1559667926,57,-20.63,-46.0,70.22,6.89
119,Berlevag,0,NO,1559668488,62,70.86,29.09,51.8,8.05
120,Rocky Mountain House,63,CA,1559668489,47,52.38,-114.92,60.68,9.64
121,Tiksi,0,RU,1559668490,85,71.64,128.87,30.62,11.16
122,Deputatskiy,0,RU,1559667973,57,69.3,139.9,32.96,10.6
123,Norman Wells,75,CA,1559667959,75,65.28,-126.83,42.8,6.93
124,Talnakh,0,RU,1559668494,65,69.49,88.39,41.0,2.24
125,Mahebourg,40,MU,1559667857,68,-20.41,57.7,71.6,18.34
126,Nikolskoye,0,RU,1559668496,39,59.7,30.79,78.8,11.18
127,Coquimbo,40,CL,1559668027,93,-29.95,-71.34,77.0,4.7
128,Camacha,20,PT,1559667948,78,33.08,-16.33,75.2,17.22
129,Lebu,99,ET,1559667899,52,8.96,38.73,64.82,4.27
130,Hornepayne,0,CA,1559668500,23,49.22,-84.78,65.9,5.66
131,Dalvik,0,SE,1559668502,59,57.79,14.13,66.99,6.93
132,Sao Filipe,12,CV,1559667986,84,14.9,-24.5,74.36,13.35
133,Labuhan,99,ID,1559668035,95,-2.54,115.51,73.82,1.28
134,Caravelas,0,BR,1559668007,53,-17.73,-39.27,87.68,1.79
135,Toora-Khem,100,RU,1559668506,87,52.47,96.11,43.22,2.98
136,Paamiut,87,GL,1559667793,82,61.99,-49.67,38.18,8.23
137,Tahe,14,CN,1559668508,84,52.34,124.71,54.74,4.18
138,Vanavara,24,RU,1559668509,80,60.35,102.28,48.08,2.35
139,Buin,75,CL,1559667955,24,-33.73,-70.74,68.0,2.24
140,Houma,99,CN,1559668512,67,35.63,111.36,72.2,13.38
141,Kimbe,59,PG,1559668513,88,-5.56,150.15,75.62,4.14
142,Nikolsk,95,RU,1559668514,72,59.53,45.45,56.0,3.06
143,Wonthaggi,100,AU,1559668515,72,-38.6,145.59,53.01,10.38
144,Raudeberg,75,NO,1559668035,76,61.99,5.14,57.2,5.82
145,Masyaf,0,SY,1559668518,44,35.06,36.34,78.8,3.36
146,Aksay,0,RU,1559668519,54,47.27,39.86,78.8,13.42
147,Ahipara,99,NZ,1559667980,86,-35.17,173.16,63.2,29.89
148,Bakel,85,SN,1559668521,12,14.9,-12.46,106.58,2.59
149,Port Keats,100,AU,1559668262,31,-14.25,129.55,70.04,19.86
150,Glazov,0,RU,1559668523,62,58.14,52.65,46.46,6.33
151,Manono,0,CD,1559668524,42,-7.3,27.4,74.0,4.79
152,Khatanga,88,RU,1559667939,85,71.98,102.47,43.22,8.34
153,Hambantota,54,LK,1559668527,78,6.12,81.12,83.9,14.94
154,Xai-Xai,0,MZ,1559668528,87,-25.04,33.64,65.0,4.99
155,Gamba,14,CN,1559668529,52,28.28,88.52,40.7,8.39
156,Tuatapere,88,NZ,1559668530,61,-46.13,167.69,48.08,28.72
157,Trincomalee,89,LK,1559668532,67,8.58,81.23,80.84,6.64
158,Senneterre,75,CA,1559668533,47,48.39,-77.24,55.4,8.05
159,Chokurdakh,0,RU,1559667804,79,70.62,147.9,31.88,4.41
160,Zinder,20,NE,1559668535,26,13.81,8.99,104.0,13.87
161,Praia,20,BR,1559668536,33,-20.25,-43.81,77.0,4.7
162,Sao Joao da Barra,20,BR,1559667995,57,-21.64,-41.05,75.2,27.51
163,Faanui,0,PF,1559668538,73,-16.48,-151.75,81.02,13.51
164,Butaritari,92,KI,1559668540,80,3.07,172.79,83.36,16.02
165,Nanortalik,37,GL,1559667954,73,60.14,-45.24,41.06,8.93
166,Jalingo,98,NG,1559668542,26,10.3,10.93,97.04,4.68
167,Khandbari,64,NP,1559668543,89,27.38,87.21,53.84,1.95
168,Tabriz,75,IR,1559668545,24,38.08,46.29,80.6,13.87
169,Broome,20,GB,1559668546,100,52.47,1.45,59.0,14.99
170,Yurty,19,RU,1559668547,67,56.05,97.64,46.82,3.6
171,Cidreira,7,BR,1559668548,62,-30.17,-50.22,67.16,0.56
172,Anori,93,BR,1559668549,53,-3.74,-61.66,90.56,4.0
173,San Jose,100,PH,1559667782,72,15.79,120.99,81.92,4.29
174,Cabo San Lucas,5,MX,1559668292,54,22.89,-109.91,82.4,13.62
175,Walvis Bay,0,NA,1559668011,59,-22.95,14.51,64.4,10.29
176,Puerto Ayora,75,EC,1559668554,69,-0.74,-90.35,80.6,17.22
177,Aykhal,75,RU,1559668555,81,65.95,111.51,50.0,4.47
178,Barrow,89,AR,1559668556,53,-38.31,-60.23,65.0,19.91
179,Esmeraldas,20,BR,1559668557,49,-19.76,-44.31,77.0,8.05
180,Akureyri,75,IS,1559668559,80,65.68,-18.09,41.0,12.75
181,Beatrice,1,US,1559668507,65,40.27,-96.75,82.0,11.41
182,Camapua,22,BR,1559668561,68,-19.53,-54.04,72.02,8.34
183,Gejiu,2,CN,1559668562,97,23.36,103.16,60.5,5.61
184,Mandera,51,ET,1559668563,53,3.94,41.86,83.0,8.68
185,Lima,90,PE,1559668565,72,-12.06,-77.04,66.2,4.7
186,Miandrivazo,100,MG,1559668566,92,-19.53,45.46,70.76,4.65
187,Praia da Vitoria,75,PT,1559668567,56,38.73,-27.07,68.0,11.36
188,Jacmel,20,HT,1559668568,59,18.24,-72.54,89.6,10.29
189,Maragogi,20,BR,1559668569,74,-9.01,-35.22,80.66,8.48
190,Severo-Kurilsk,99,RU,1559668570,96,50.68,156.12,42.14,10.02
191,Svetlogorsk,75,RU,1559668572,50,53.14,59.15,53.6,22.37
192,Airai,95,TL,1559668573,76,-8.93,125.41,72.74,10.38
193,Uwajima,100,JP,1559668574,96,33.22,132.57,65.0,3.49
194,Port Lincoln,99,AU,1559668575,60,-34.72,135.86,56.54,8.41
195,Ajdabiya,0,LY,1559668577,71,30.75,20.22,70.58,15.05
196,Conakry,99,GN,1559668536,78,9.52,-13.7,82.46,9.82
197,Virginia Beach,1,US,1559668321,35,36.85,-75.98,78.01,8.05
198,Hithadhoo,100,MV,1559668580,79,-0.6,73.08,84.8,9.53
199,Kirakira,66,SB,1559668581,84,-10.46,161.92,80.12,6.8
200,Kalemie,0,CD,1559668582,73,-5.95,29.2,63.2,3.0
201,Coahuayana,100,MX,1559667997,44,18.62,-100.35,95.06,1.77
202,Bahia Honda,81,CU,1559668585,73,22.9,-83.16,84.62,13.33
203,Belyy Yar,40,RU,1559668586,93,53.6,91.39,50.0,2.82
204,Sestri Levante,20,IT,1559668587,77,44.27,9.41,70.0,4.7
205,Aswan,0,EG,1559668588,12,24.09,32.9,109.4,10.29
206,Khingansk,58,RU,1559668589,77,49.12,131.18,50.78,1.12
207,Touros,40,BR,1559668590,58,-5.2,-35.46,87.8,13.87
208,Keuruu,0,FI,1559668592,52,62.26,24.71,71.6,14.99
209,Lodwar,77,KE,1559668593,40,3.12,35.6,88.04,8.43
210,Arnprior,75,CA,1559668594,44,45.44,-76.36,66.99,11.41
211,Port Moresby,75,PG,1559668595,94,-9.47,147.16,77.0,17.22
212,Maceio,40,BR,1559668596,54,-9.67,-35.74,82.4,6.93
213,Jijiang,7,CN,1559668598,94,29.8,120.61,75.2,4.47
214,Kargil,61,PK,1559668599,50,34.56,76.13,40.52,3.71
215,Acari,21,BR,1559668600,33,-6.44,-36.64,92.0,11.54
216,Torbay,75,CA,1559668601,77,47.66,-52.73,68.0,14.99
217,Hue,20,VN,1559668602,79,16.47,107.58,84.2,3.36
218,La Ronge,40,CA,1559668036,51,55.1,-105.3,60.8,14.99
219,Ereymentau,61,KZ,1559668605,35,51.62,73.1,68.42,15.84
220,College,40,US,1559668606,44,64.86,-147.8,60.01,4.7
221,Souillac,0,FR,1559668607,56,45.6,-0.6,73.0,16.11
222,Maniitsoq,0,GL,1559668036,47,65.42,-52.9,49.7,12.21
223,Naryan-Mar,55,RU,1559668609,59,67.67,53.09,42.14,0.74
224,Acapulco,90,MX,1559668559,88,16.86,-99.88,78.8,6.93
225,Malkangiri,100,IN,1559668612,53,18.35,81.9,88.94,3.71
226,Adrar,0,DZ,1559668613,8,27.87,-0.29,105.8,10.29
227,Mar del Plata,100,AR,1559668316,41,-46.43,-67.52,61.04,20.24
228,Itarema,96,BR,1559668615,67,-2.92,-39.92,86.24,5.68
229,Dunedin,93,NZ,1559667847,51,-45.87,170.5,45.0,10.0
230,Margate,20,AU,1559668160,80,-43.03,147.26,43.0,6.93
231,Victoria,75,BN,1559668502,94,5.28,115.24,77.0,3.36
232,Imeni Poliny Osipenko,2,RU,1559668620,93,52.42,136.49,44.66,3.38
233,Padang,100,ID,1559668621,73,-0.92,100.36,84.62,3.96
234,Hargeysa,98,SO,1559668622,57,9.56,44.06,76.16,11.92
235,Leningradskiy,94,RU,1559668624,93,69.38,178.42,38.54,4.03
236,Pevek,100,RU,1559668625,95,69.7,170.27,32.06,6.33
237,Coruripe,9,BR,1559668626,55,-10.12,-36.18,83.0,9.84
238,Pouembout,98,NC,1559668627,74,-21.12,164.9,75.26,6.87
239,Puerto Penasco,0,MX,1559668440,64,31.32,-113.53,75.99,5.99
240,Zalantun,67,CN,1559668630,65,48.0,122.72,55.28,3.62
241,Alenquer,20,BR,1559668631,84,-1.95,-54.74,86.0,12.75
242,Portland,20,US,1559668387,51,45.52,-122.67,64.0,3.36
243,Kalat,1,PK,1559668633,21,29.03,66.58,68.24,20.22
244,Alice Springs,56,AU,1559668634,74,-23.7,133.88,37.4,6.93
245,Longyearbyen,75,NO,1559668635,74,78.22,15.63,35.6,3.36
246,Oga,92,NG,1559668637,73,8.18,5.65,82.1,7.23
247,Anshun,2,CN,1559668638,93,26.25,105.93,64.64,10.71
248,Georgetown,75,GY,1559668639,70,6.8,-58.16,87.8,11.41
249,Novo Aripuana,77,BR,1559668641,73,-5.12,-60.38,87.14,2.37
250,Mercedes,6,UY,1559668642,64,-33.25,-58.03,65.18,11.97
251,Port Elizabeth,1,US,1559668643,30,39.31,-74.98,72.0,10.29
252,Meulaboh,100,ID,1559668644,81,4.14,96.13,82.28,5.97
253,Carnarvon,51,ZA,1559668646,22,-30.97,22.13,61.94,15.84
254,Zhanaozen,70,KZ,1559668647,46,43.35,52.85,80.84,9.57
255,Mumford,100,GH,1559668160,90,5.26,-0.76,77.24,6.51
256,Los Llanos de Aridane,20,ES,1559668649,69,28.66,-17.92,73.4,14.99
257,Coria,66,ES,1559668650,42,39.98,-6.54,70.58,11.81
258,Hohhot,0,CN,1559668651,20,40.81,111.65,64.4,4.47
259,Grand Gaube,75,MU,1559668652,64,-20.01,57.66,73.4,18.34
260,Tanete,100,ID,1559668654,86,-3.94,119.78,77.42,11.86
261,Port Maria,20,JM,1559668655,70,18.37,-76.89,87.8,14.99
262,Beya,42,RU,1559668656,89,53.05,90.92,50.24,7.67
263,Mangrol,2,IN,1559668657,11,25.33,76.51,105.5,8.86
264,Limoges,75,FR,1559668658,64,45.84,1.26,72.0,11.41
265,Ponnani,40,IN,1559668660,74,10.77,75.93,88.0,4.7
266,Rundu,0,NA,1559668661,16,-17.91,19.77,77.0,4.7
267,Las Vegas,1,US,1559668387,17,36.17,-115.15,88.0,3.36
268,Petropavlovsk-Kamchatskiy,90,RU,1559668663,100,53.05,158.65,44.6,2.24
269,Loralai,15,PK,1559668664,11,30.37,68.6,75.98,14.32
270,Sawakin,24,SD,1559668665,29,19.1,37.33,91.28,3.87
271,Ojiya,100,JP,1559668667,76,37.29,138.8,71.01,3.4
272,Longkou,100,CN,1559668668,65,37.64,120.47,71.66,19.39
273,Kokkola,0,FI,1559668670,45,63.84,23.13,64.4,14.99
